country,iso,spi_p1_use,spi_p2_open,spi_p3_prod,spi_p4_source,spi_p5_infra,spi_overall,ai_works,total_works,gdppc_ppp,rnd_pct_gdp,researchers_permil,population
Kazakhstan,KAZ,100.0,90.13,79.2,80.2,75.0,84.89,6152,70073,35453,0.1,681.5,20592571
Uzbekistan,UZB,90.0,79.13,80.1,68.2,90.0,81.49,5328,72116,8765,0.2,547.5,36361859
Kyrgyzstan,KGZ,100.0,50.87,84.0,70.9,90.0,79.15,677,10264,6402,0.1,,7224614
Poland,POL,100.0,99.0,82.2,94.3,80.0,91.11,44287,538010,44051,1.4,3534.5,36554707
Estonia,EST,100.0,96.3,83.4,84.2,80.0,88.79,3771,36384,41998,1.8,4038.2,1371986
Turkey,TUR,50.0,86.4,88.4,72.0,100.0,79.35,56759,758548,34414,1.4,1999.5,85518661
UAE,ARE,90.0,81.6,70.4,68.7,85.0,79.15,19331,110672,75627,1.5,2666.0,10876981
USA,USA,100.0,95.0,88.4,86.9,80.0,90.06,697140,8209040,73637,3.5,4451.8,340110988
China,CHN,73.4,43.93,76.6,40.7,55.0,57.93,1078753,5903257,22135,2.4,1687.1,1408975000
Germany,DEU,100.0,95.33,83.8,86.1,85.0,90.06,185771,1843755,61909,3.1,5536.0,83510950
Netherlands,NLD,80.0,97.23,82.2,81.2,85.0,85.13,65980,625620,69336,2.3,6074.3,17994237
