country,iso,spi_p1_use,spi_p2_open,spi_p3_prod,spi_p4_source,spi_p5_infra,spi_overall,ai_works,total_works,gdppc_ppp,rnd_pct_gdp,researchers_permil,population,DAR,DAR_all5,DAR_pca,ai_per_mil,rsch_total,ai_per_1k_rsch,ai_share,_ly
Kazakhstan,KAZ,100.0,90.13,79.2,80.2,75.0,84.89,6152,70073,35453,0.1,681.5,20592571,81.77666666666666,84.90599999999999,74.19879650903603,298.74851469493535,14033.8371365,438.36906044744734,8.779415752144192,6.083061159346477
Uzbekistan,UZB,90.0,79.13,80.1,68.2,90.0,81.49,5328,72116,8765,0.2,547.5,36361859,79.11,81.486,71.19461698132766,146.52716188135486,19908.1178025,267.62951941799975,7.3880969549059845,5.589603633896639
Kyrgyzstan,KGZ,100.0,50.87,84.0,70.9,90.0,79.15,677,10264,6402,0.1,,7224614,70.59,79.154,63.96360977128085,93.70742852144073,,,6.595869056897897,
Poland,POL,100.0,99.0,82.2,94.3,80.0,91.11,44287,538010,44051,1.4,3534.5,36554707,91.10000000000001,91.1,98.2170970763018,1211.5266031266508,129202.6118915,342.77170833969467,8.231631382316314,5.837064652220006
Estonia,EST,100.0,96.3,83.4,84.2,80.0,88.79,3771,36384,41998,1.8,4038.2,1371986,86.83333333333333,88.78,90.82097401114909,2748.5703206884036,5540.3538652,680.6424448240314,10.364445910290238,6.5230371239542215
Turkey,TUR,50.0,86.4,88.4,72.0,100.0,79.35,56759,758548,34414,1.4,1999.5,85518661,86.13333333333333,79.36,98.27726897021134,663.7030951642239,170994.5626695,331.93453121491564,7.482585149522508,5.8049377543351754
UAE,ARE,90.0,81.6,70.4,68.7,85.0,79.15,19331,110672,75627,1.5,2666.0,10876981,78.43333333333334,79.14,54.1719527739302,1777.2394748138292,28998.031346,666.6314609204161,17.466929304611824,6.502237360860173
USA,USA,100.0,95.0,88.4,86.9,80.0,90.06,697140,8209040,73637,3.5,4451.8,340110988,87.3,90.05999999999999,100.0,2049.7426563589884,1514106.0963784002,460.4300858886266,8.492345024509564,6.132161021994674
China,CHN,73.4,43.93,76.6,40.7,55.0,57.93,1078753,5903257,22135,2.4,1687.1,1408975000,46.54333333333333,57.926,0.0,765.6296243723274,2377081.7225,453.8140148019248,18.273861361617833,6.117687455081568
Germany,DEU,100.0,95.33,83.8,86.1,85.0,90.06,185771,1843755,61909,3.1,5536.0,83510950,88.81,90.046,96.00022901407965,2224.5106779410366,462316.6192,401.82635078414677,10.075687930337816,5.996020032072517
Netherlands,NLD,80.0,97.23,82.2,81.2,85.0,85.13,65980,625620,69336,2.3,6074.3,17994237,87.81,85.126,90.75587710409711,3666.729520123582,109302.3938091,603.6464317079469,10.54633803267159,6.4029886485672645
